case_id,human_gt,agent_original,P_case_EnvFail,P_case_AgentFail,corrected_label,action,is_correct_before,is_correct_after,is_flipped
90s Retro Business Card03,1,1.0,6.327432376628573e-05,0.9999367256762337,1,keep_AgentJudge,True,True,False
90s Retro Business Card16,1,1.0,0.0045531143157043945,0.9954468856842956,1,keep_AgentJudge,True,True,False
Booking Calendar04,1,1.0,0.0019338241589629038,0.9980661758410371,1,keep_AgentJudge,True,True,False
Booking Calendar09,1,1.0,0.0045531143157043945,0.9954468856842956,1,keep_AgentJudge,True,True,False
Booking Calendar14,1,1.0,7.815326011331706e-05,0.9999218467398866,1,keep_AgentJudge,True,True,False
CSS Animation Playground13,1,1.0,0.07912524604277728,0.9208747539572227,1,keep_AgentJudge,True,True,False
Code Complexity Analyzer04,1,1.0,0.0019338241589629038,0.9980661758410371,1,keep_AgentJudge,True,True,False
Code Complexity Analyzer12,1,1.0,0.0006640645260965109,0.9993359354739034,1,keep_AgentJudge,True,True,False
Digital Art Gallery01,1,1.0,0.0045531143157043945,0.9954468856842956,1,keep_AgentJudge,True,True,False
Digital Art Gallery04,1,1.0,0.0019338241589629038,0.9980661758410371,1,keep_AgentJudge,True,True,False
Digital Art Gallery13,1,1.0,0.0019338241589629038,0.9980661758410371,1,keep_AgentJudge,True,True,False
Digital Art Gallery15,1,1.0,0.0006640645260965109,0.9993359354739034,1,keep_AgentJudge,True,True,False
Digital Name Card07,1,1.0,0.005617846034598065,0.9943821539654019,1,keep_AgentJudge,True,True,False
Digital Name Card08,1,1.0,0.0036894289519696414,0.9963105710480304,1,keep_AgentJudge,True,True,False
Digital Name Card12,1,1.0,0.0019338241589629038,0.9980661758410371,1,keep_AgentJudge,True,True,False
Digital Name Card13,1,1.0,0.07912524604277728,0.9208747539572227,1,keep_AgentJudge,True,True,False
Digital Name Card14,1,1.0,0.053317149026630296,0.9466828509733697,1,keep_AgentJudge,True,True,False
DigitalBusinessCard Page11,1,1.0,0.00012051743564625308,0.9998794825643538,1,keep_AgentJudge,True,True,False
DigitalBusinessCard Page12,1,1.0,0.04360858824999608,0.956391411750004,1,keep_AgentJudge,True,True,False
Event Landing Page03,1,1.0,0.005617846034598065,0.9943821539654019,1,keep_AgentJudge,True,True,False
Event Landing Page05,1,1.0,0.0045531143157043945,0.9954468856842956,1,keep_AgentJudge,True,True,False
Event Landing Page11,1,1.0,0.0036894289519696414,0.9963105710480304,1,keep_AgentJudge,True,True,False
ExpensePlanner11,1,1.0,2.4470935362749855e-06,0.9999975529064637,1,keep_AgentJudge,True,True,False
ExpensePlanner13,1,1.0,0.00228908362321102,0.997710916376789,1,keep_AgentJudge,True,True,False
ExpensePlanner15,1,1.0,0.00017453423695611226,0.999825465763044,1,keep_AgentJudge,True,True,False
Festival Planner05,1,1.0,2.6804674225899052e-05,0.9999731953257741,1,keep_AgentJudge,True,True,False
