case_id,human_gt,agent_original,P_case_EnvFail,P_case_AgentRetryFail,P_case_AgentReasoningFail,P_case_AgentFail,corrected_label,action,agent_fail_type,is_correct_before,is_correct_after,is_flipped
web_0_1,0,0.0,0.9999997648039614,1.9175233772635837e-07,4.344370084830618e-08,2.3519603857466454e-07,0,keep_EnvFail_or_AgentFail,,True,True,False
web_0_5,0,0.0,2.849013147230863e-07,0.6197174867971373,0.3802822283015479,0.9999997150986852,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_102_3,0,0.0,0.0010160074651751664,0.4850341958687738,0.5139497966660511,0.998983992534825,1,flip_to_AgentReasoningFail,AgentReasoningFail,True,False,True
web_102_4,0,0.0,0.0003779222117911755,0.4295627876470962,0.5700592901411127,0.9996220777882089,1,flip_to_AgentReasoningFail,AgentReasoningFail,True,False,True
web_102_5,0,0.0,1.0,4.836086624919299e-21,1.9551016132426617e-21,6.79118823816196e-21,0,keep_EnvFail_or_AgentFail,,True,True,False
web_103_3,0,0.0,0.001895696812381355,0.8137417389800387,0.18436256420758,0.9981043031876187,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_103_4,0,0.0,1.0,3.6293365844072446e-17,2.0000932556902217e-18,3.8293459099762666e-17,0,keep_EnvFail_or_AgentFail,,True,True,False
web_10_1,0,0.0,0.9999998447129065,6.673077578991691e-08,8.855631765900926e-08,1.552870934489262e-07,0,keep_EnvFail_or_AgentFail,,True,True,False
web_10_2,0,0.0,0.9999999882808633,5.971523697795827e-09,5.7476128869390955e-09,1.1719136584734922e-08,0,keep_EnvFail_or_AgentFail,,True,True,False
web_10_3,0,0.0,0.9999999998691977,1.1563079502595994e-10,1.517132799553762e-11,1.3080212302149757e-10,0,keep_EnvFail_or_AgentFail,,True,True,False
web_10_4,0,0.0,4.176163883406679e-08,0.6119534822723188,0.38804647596604236,0.9999999582383612,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_10_5,0,0.0,1.0,2.478391261256802e-28,1.1269402406921727e-29,2.591085285326019e-28,0,keep_EnvFail_or_AgentFail,,True,True,False
web_11_1,0,0.0,0.9999999999968514,3.12200631648833e-12,2.668108935766638e-14,3.1486874058459965e-12,0,keep_EnvFail_or_AgentFail,,True,True,False
web_14_1,0,0.0,0.0005489115723346625,0.8835278914047773,0.11592319702288804,0.9994510884276653,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_14_3,0,0.0,4.9047035165778674e-12,0.9410051573162009,0.05899484267889431,0.9999999999950953,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_14_4,0,0.0,1.0,1.5781472935476482e-24,1.1016886081996878e-24,2.679835901747336e-24,0,keep_EnvFail_or_AgentFail,,True,True,False
web_14_5,0,0.0,0.9999999998691977,1.1563079502595994e-10,1.517132799553762e-11,1.3080212302149757e-10,0,keep_EnvFail_or_AgentFail,,True,True,False
web_16_2,0,0.0,1.844321264132792e-07,0.8588689448265634,0.14113087074131028,0.9999998155678737,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_16_3,0,0.0,0.00011730711859650215,0.6710768628606575,0.32880583002074604,0.9998826928814035,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_17_5,0,0.0,9.486251232624062e-06,0.8840047504747629,0.1159857632740044,0.9999905137487672,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_18_1,0,0.0,0.9999969161181488,2.514249635550162e-06,5.696322158047404e-07,3.0838818513549023e-06,0,keep_EnvFail_or_AgentFail,,True,True,False
web_18_2,0,0.0,0.9999997648039614,1.9175233772635837e-07,4.344370084830618e-08,2.3519603857466454e-07,0,keep_EnvFail_or_AgentFail,,True,True,False
web_18_3,0,0.0,0.9999999999920777,6.570237164168007e-12,1.3521385756432532e-12,7.922375739811261e-12,0,keep_EnvFail_or_AgentFail,,True,True,False
web_18_4,0,0.0,0.9999999998308708,1.571857425627927e-10,1.1943377950403669e-11,1.6912912051319637e-10,0,keep_EnvFail_or_AgentFail,,True,True,False
web_19_1,0,0.0,0.001895696812381357,0.8137417389800387,0.18436256420758015,0.9981043031876188,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_19_4,0,0.0,6.353713292738973e-05,0.9130497253611614,0.08688673750591124,0.9999364628670726,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_19_5,0,0.0,2.224011036823249e-07,0.9950749671490183,0.0049248104498778545,0.9999997775988961,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_1_1,0,0.0,0.999999618736595,3.543397567581954e-07,2.6923648219090813e-08,3.812634049772862e-07,0,keep_EnvFail_or_AgentFail,,True,True,False
web_1_4,0,0.0,6.838515844885599e-10,0.9915262812551293,0.008473718061019138,0.9999999993161485,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_21_1,0,0.0,8.74251647871026e-05,0.9750654763028969,0.02484709853231618,0.999912574835213,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_21_3,0,0.0,0.9999999988737469,8.309585063764901e-10,2.952946344517924e-10,1.1262531408282825e-09,0,keep_EnvFail_or_AgentFail,,True,True,False
web_21_5,0,0.0,0.0018956968123813537,0.8137417389800388,0.18436256420757985,0.9981043031876187,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_22_5,0,0.0,7.11452467126152e-09,0.9167686038020536,0.08323138908342162,0.9999999928854753,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_23_1,0,0.0,0.006239760627662636,0.7143079406385866,0.2794522987337507,0.9937602393723373,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_23_4,0,0.0,0.001895696812381355,0.8137417389800387,0.18436256420758,0.9981043031876187,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_24_3,0,0.0,2.292160695172898e-06,0.9915240091956145,0.008473698643690377,0.9999977078393049,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_24_4,0,0.0,0.9999999999968514,3.12200631648833e-12,2.668108935766638e-14,3.1486874058459965e-12,0,keep_EnvFail_or_AgentFail,,True,True,False
web_26_1,0,0.0,1.0,6.426068514877001e-26,1.419088937246568e-27,6.567977408601658e-26,0,keep_EnvFail_or_AgentFail,,True,True,False
web_26_5,0,0.0,2.7788110583431833e-07,0.5968183617811776,0.40318136033771645,0.9999997221188941,1,flip_to_AgentRetryFail,AgentRetryFail,True,False,True
web_27_1,0,0.0,0.9999999960943831,3.808565192909144e-09,9.705173336028046e-11,3.905616926269424e-09,0,keep_EnvFail_or_AgentFail,,True,True,False
